Ingredient code,Ingredient description_x,Ingredient weight (g)_x,Ingredient_subcode,Ingredient description_y,Ingredient weight (g)_y
27560110,"Bologna sandwich, with spread",100,18069,"Bread, white, commercially prepared (includes soft bread crumbs)",56
27560110,"Bologna sandwich, with spread",100,7971,"Bologna, meat and poultry",28.35
27560110,"Bologna sandwich, with spread",100,4025,"Salad dressing, mayonnaise, regular",4.583
71103010,"Potato, boiled, from fresh, peel not eaten, no added fat",50,11363,"Potatoes, baked, flesh, without salt",100
71103010,"Potato, boiled, from fresh, peel not eaten, no added fat",50,2047,"Salt, table, iodized",0.4
73102211,"Carrots, fresh, cooked, no added fat",30,11124,"Carrots, raw",100
73102211,"Carrots, fresh, cooked, no added fat",30,2047,"Salt, table, iodized",0.3
75221011,"Onions, cooked, no added fat",15,11282,"Onions, raw",100
75221011,"Onions, cooked, no added fat",15,2047,"Salt, table, iodized",0.3
41104020,"Pinto beans, from dried, no added fat",131,16043,"Beans, pinto, mature seeds, cooked, boiled, without salt",100
41104020,"Pinto beans, from dried, no added fat",131,2047,"Salt, table, iodized",0.6
41102020,"Black beans, from dried, no added fat",44,16015,"Beans, black, mature seeds, cooked, boiled, without salt",100
41102020,"Black beans, from dried, no added fat",44,2047,"Salt, table, iodized",0.6
99997525,"Red pepper, cooked, as ingredient",17,11821,"Peppers, sweet, red, raw",100
28520000,"Gravy, made with soy sauce",79.92,6075,"Soup, beef broth or bouillon, powder, dry",3.6
28520000,"Gravy, made with soy sauce",79.92,20027,Cornstarch,8
28520000,"Gravy, made with soy sauce",79.92,19335,"Sugars, granulated",4.167
28520000,"Gravy, made with soy sauce",79.92,16123,Soy sauce made from soy and wheat (shoyu),5.3
28520000,"Gravy, made with soy sauce",79.92,14411,"Beverages, water, tap, drinking",118.5
71505050,"Potato tots, frozen, fried",100,11398,"Potato puffs, frozen, unprepared",100
71505050,"Potato tots, frozen, fried",100,4044,"Oil, soybean, salad or cooking",50
71505050,"Potato tots, frozen, fried",100,4518,"Oil, corn, industrial and retail, all purpose salad or cooking",10
71505050,"Potato tots, frozen, fried",100,4582,"Oil, canola",15
71505050,"Potato tots, frozen, fried",100,4053,"Oil, olive, salad or cooking",25
24152230,"Chicken thigh, baked, broiled, or roasted, skin eaten, from raw",30,5094,"Chicken, broilers or fryers, thigh, meat and skin, cooked, roasted",100
24152230,"Chicken thigh, baked, broiled, or roasted, skin eaten, from raw",30,2047,"Salt, table, iodized",0.6
24142300,"Chicken drumstick, baked, broiled, or roasted, skin eaten, from raw",20,5069,"Chicken, broilers or fryers, drumstick, meat and skin, cooked, roasted",100
24142300,"Chicken drumstick, baked, broiled, or roasted, skin eaten, from raw",20,2047,"Salt, table, iodized",0.6
73410310,"Sweet potato fries, frozen, fried",100,31023,"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",100
73410310,"Sweet potato fries, frozen, fried",100,4044,"Oil, soybean, salad or cooking",50
73410310,"Sweet potato fries, frozen, fried",100,4518,"Oil, corn, industrial and retail, all purpose salad or cooking",10
73410310,"Sweet potato fries, frozen, fried",100,4582,"Oil, canola",15
73410310,"Sweet potato fries, frozen, fried",100,4053,"Oil, olive, salad or cooking",25
99997800,Dark green vegetables as ingredient in omelet,15,11457,"Spinach, raw",70
99997800,Dark green vegetables as ingredient in omelet,15,11090,"Broccoli, raw",15
99997800,Dark green vegetables as ingredient in omelet,15,11282,"Onions, raw",10
99997800,Dark green vegetables as ingredient in omelet,15,11333,"Peppers, sweet, green, raw",5
